parameters_id,expectation_value/+/X,expectation_value/-/X,expectation_value/r/X,expectation_value/l/X,expectation_value/0/X,expectation_value/1/X,expectation_value/+/Y,expectation_value/-/Y,expectation_value/r/Y,expectation_value/l/Y,expectation_value/0/Y,expectation_value/1/Y,expectation_value/+/Z,expectation_value/-/Z,expectation_value/r/Z,expectation_value/l/Z,expectation_value/0/Z,expectation_value/1/Z,circuit_idx,job_id,expectation_value,initial_state,observable,parameter/0/0/0/amp,parameter/0/0/0/sigma,parameter/0/1/0/amp,parameter/0/1/0/sigma,parameter/0/1/1/amp,parameter/0/1/1/sigma,parameter/0/2/0/amp,parameter/0/2/0/sigma,parameter/0/2/1/amp,parameter/0/2/1/sigma,parameter/0/2/2/amp,parameter/0/2/2/sigma,parameter/0/3/0/amp,parameter/0/3/0/sigma,parameter/0/3/1/amp,parameter/0/3/1/sigma,parameter/0/3/2/amp,parameter/0/3/2/sigma,parameter/0/3/3/amp,parameter/0/3/3/sigma,parameter/0/beta,job_idx,unique_id,counts/00,counts/01,counts/10,counts/11,created,running,finished
10,0.9873333333,-0.982,-0.0053333333,0.0426666667,0.0113333333,-0.0273333333,0.0153333333,-0.0493333333,0.3306666667,-0.304,-0.91,0.9193333333,0.012,0.014,0.9266666667,-0.9246666667,0.344,-0.344,180,cvkgts3w5350008xh8qg,0.9873333333,+,X,0.0320001813,7.9173711967,0.8148210547,5.2289304347,0.7354300922,5.734428347,0.9837431451,4.5857985058,0.1305433843,3.5457594804,0.3873898109,4.852280973,0.237550588,2.7182653393,0.7390004632,2.8456583785,0.6738169144,1.2323287555,0.9293639711,2.4183325695,1.8474424771,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
11,0.984,-0.9866666667,0.0093333333,0.0006666667,-0.0006666667,0.0213333333,0.034,-0.0013333333,0.128,-0.1413333333,-0.9686666667,0.9633333333,-0.0226666667,0.0,0.9753333333,-0.9746666667,0.154,-0.1793333333,198,cvkgts3w5350008xh8qg,0.984,+,X,0.5715663209,8.4771464979,0.0538887412,6.8053139939,0.1220306394,6.6923925575,0.6580709493,4.9405615886,0.6940286643,3.7529234613,0.5767486525,3.4916362346,0.5017462471,2.9859959689,0.906733762,1.5317991445,0.9923606979,2.0559125757,0.3346048073,1.5780082496,0.601027658,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
12,0.984,-0.9806666667,0.0773333333,-0.0553333333,-0.06,0.0513333333,-0.032,0.0493333333,-0.2993333333,0.302,-0.944,0.922,-0.0506666667,0.0846666667,0.9433333333,-0.934,-0.2633333333,0.2693333333,216,cvkgts3w5350008xh8qg,0.984,+,X,0.7454453432,8.2854852971,0.2936407287,5.4004266073,0.3617568232,6.1008142751,0.8243185222,4.0514195058,0.070915097,4.2483191445,0.9636312495,3.8854311807,0.8552513578,2.99526454,0.5697975087,1.459348884,0.2286701817,1.7343972634,0.5018103779,2.0389417334,-0.9095972655,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
13,0.984,-0.9726666667,-0.0766666667,0.0213333333,0.0493333333,-0.0166666667,0.048,-0.0173333333,-0.144,0.1353333333,-0.9773333333,0.966,0.0733333333,-0.042,0.9626666667,-0.974,-0.1426666667,0.142,234,cvkgts3w5350008xh8qg,0.984,+,X,0.6629932755,7.4154569004,0.2410367119,5.1232491543,0.5001953376,5.5982581994,0.6945860832,3.0061447858,0.9749842432,3.4453072323,0.6380248597,3.4428518053,0.3603138167,1.3090309928,0.0910058003,1.3681517794,0.8210152516,2.5461759785,0.8455602294,2.9492686357,1.6448400948,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
14,0.9826666667,-0.9826666667,0.036,-0.0146666667,-0.0613333333,0.1046666667,-0.0086666667,-0.0053333333,-0.8973333333,0.896,-0.392,0.4386666667,-0.0726666667,0.1113333333,0.39,-0.4266666667,-0.8846666667,0.878,252,cvkgts3w5350008xh8qg,0.9826666667,+,X,0.9521155858,7.6597038505,0.9673405764,6.479943617,0.7286546781,6.4446071497,0.0809173219,3.3963372017,0.9799608005,3.0648098937,0.8781218396,4.2304561744,0.5531942813,2.4111903619,0.9114845012,2.2810084846,0.8190833824,2.8663695519,0.4784036633,1.5303034689,-0.3421665564,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
15,0.98,-0.972,0.082,-0.0626666667,-0.082,0.1046666667,-0.0846666667,0.0733333333,-0.1993333333,0.1953333333,-0.9593333333,0.9513333333,-0.1106666667,0.1646666667,0.96,-0.9506666667,-0.2253333333,0.216,270,cvkgts3w5350008xh8qg,0.98,+,X,0.4911066033,7.7180241301,0.9269123546,6.0436776751,0.3354030206,5.4521064127,0.9093039007,3.7392299788,0.5470742015,4.0877047015,0.5181676236,4.1202335422,0.7909367441,2.2884227751,0.7993722922,1.5064742398,0.4045278428,1.5578008906,0.4926321278,2.613650198,-1.8740155735,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
16,0.984,-0.9846666667,-0.012,-0.0226666667,-0.014,0.03,0.008,0.0213333333,0.6673333333,-0.6513333333,-0.6853333333,0.7133333333,-0.0186666667,-0.018,0.7126666667,-0.7106666667,0.6853333333,-0.6893333333,288,cvkgts3w5350008xh8qg,0.984,+,X,0.0038131176,8.3208096779,0.3064774397,6.1791541333,0.5470689717,5.4686479598,0.3920137933,4.44193177,0.6649286037,3.4610767387,0.4763860093,4.579958115,0.9163640713,1.8692336056,0.12461653,1.126435832,0.4838640622,2.1107898562,0.5829662336,1.9973926343,0.6762650123,0,-1,,,,,2024-09-15T16:37:56.71083Z,2024-09-15T20:27:23.817Z,2024-09-15T20:44:08.313Z
17,0.98,-0.9866666667,-0.0486666667,0.004,0.064,0.0013333333,0.0206666667,-0.0766666667,0.1893333333,-0.174,-0.9706666667,0.9466666667,0.0153333333,-0.0153333333,0.9606666667,-0.9693333333,0.2246666667,-0.16,6,cvkgtt3vawwg0089n28g,0.98,+,X,0.1639055068,7.5824743405,0.3098771891,6.9157202111,0.9668194187,6.6927631414,0.9080631659,3.2462689306,0.8491200064,3.3981955006,0.3625887006,3.2153359555,0.4609196456,1.0133106478,0.10992441,2.9132211807,0.7821071004,1.3204950055,0.6235435134,2.4061386385,1.7036874307,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
18,0.9793333333,-0.9813333333,0.0046666667,-0.0326666667,-0.0326666667,-0.0133333333,-0.016,0.0066666667,0.41,-0.3846666667,-0.8966666667,0.8906666667,-0.014,0.0153333333,0.89,-0.9033333333,0.3893333333,-0.4146666667,24,cvkgtt3vawwg0089n28g,0.9793333333,+,X,0.3351843985,8.0136566708,0.2842975572,6.7192847264,0.2344593484,5.7304585581,0.9586169958,3.0521334936,0.1806688938,4.6702372388,0.4626580353,3.8585757642,0.9867093859,2.8327565076,0.8421413809,2.5848334073,0.2566037655,2.4560216096,0.2191936795,1.5519743236,0.4608050006,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
19,0.9833333333,-0.9793333333,-0.04,0.022,0.0073333333,0.0073333333,0.004,0.002,0.5466666667,-0.5273333333,-0.8146666667,0.8226666667,0.0226666667,-0.0413333333,0.8013333333,-0.804,0.5326666667,-0.582,42,cvkgtt3vawwg0089n28g,0.9833333333,+,X,0.1856537627,8.2978226859,0.7490554679,5.5862525213,0.1927257431,5.2529500554,0.3497262856,3.3303197877,0.1465953785,3.8789246677,0.4927683463,4.9960620293,0.65763859,1.2171324879,0.4083157259,1.1806964196,0.0701944143,1.331567057,0.5051747642,1.1077873009,1.3556421707,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
20,0.9853333333,-0.9853333333,-0.004,-0.0046666667,-0.0053333333,-0.0126666667,0.0186666667,-0.016,0.196,-0.1566666667,-0.97,0.9653333333,-0.0146666667,0.002,0.9686666667,-0.968,0.2293333333,-0.2106666667,60,cvkgtt3vawwg0089n28g,0.9853333333,+,X,0.2759545269,7.1485024052,0.9499969876,6.189264562,0.0505159365,5.2719672381,0.7705898726,3.847761292,0.8359149213,4.9445803017,0.4413697498,4.1048663517,0.3244018885,2.7321552741,0.5039216054,1.3295726434,0.8358709535,1.5189895084,0.4488662357,1.1617574611,1.0494830879,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
21,0.964,-0.972,-0.0613333333,0.0253333333,0.0893333333,-0.1246666667,0.0213333333,-0.0186666667,-0.6126666667,0.574,-0.762,0.7346666667,0.0946666667,-0.1226666667,0.7326666667,-0.746,-0.5886666667,0.6073333333,78,cvkgtt3vawwg0089n28g,0.964,+,X,0.9315288443,7.0789147134,0.6823684019,6.7752711154,0.6123241999,6.6243254434,0.4340555322,3.0358978465,0.7450726812,3.8752842531,0.6406457421,3.4446992985,0.7163506407,1.1966054842,0.1261156314,2.661496732,0.0198676161,1.8536097662,0.9162595204,1.6159790676,1.7967084772,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
22,0.9873333333,-0.9773333333,0.0446666667,-0.0766666667,-0.0286666667,0.0706666667,-0.032,0.0393333333,-0.1353333333,0.132,-0.972,0.974,-0.0366666667,0.0486666667,0.9786666667,-0.9806666667,-0.0906666667,0.1073333333,96,cvkgtt3vawwg0089n28g,0.9873333333,+,X,0.7591737063,7.3195284971,0.0595617965,6.4497741228,0.4990211151,5.1636578704,0.9719572534,3.7684400171,0.3948492004,3.3529565149,0.7871176011,3.9462122584,0.1212927598,2.1146452165,0.1151872033,2.6572399322,0.6612748311,1.8122770031,0.7289481854,1.6198615073,-0.6076669478,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
23,0.984,-0.9773333333,0.0366666667,-0.0593333333,-0.0226666667,0.052,-0.086,0.0366666667,0.2666666667,-0.2813333333,-0.9373333333,0.9466666667,-0.0353333333,0.0206666667,0.946,-0.9566666667,0.2446666667,-0.292,114,cvkgtt3vawwg0089n28g,0.984,+,X,0.0414790696,8.0064030007,0.7463299022,5.4691750086,0.7921479132,6.4018636001,0.2933668698,3.4062818497,0.3726019764,4.7634765552,0.9186365469,4.9298588927,0.2856773522,1.1263304895,0.321842642,2.7045012629,0.4700882906,1.960213342,0.507256044,2.973909769,-1.7603186785,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
24,0.9773333333,-0.9826666667,0.0086666667,-0.004,-0.0106666667,-0.0153333333,-0.014,-0.02,-0.8653333333,0.862,-0.4766666667,0.4633333333,0.0133333333,0.018,0.466,-0.4213333333,-0.8793333333,0.864,132,cvkgtt3vawwg0089n28g,0.9773333333,+,X,0.8169071342,8.8855981949,0.8026842888,6.8047015086,0.9351453563,5.0401124443,0.6793617638,4.0708177603,0.9619817607,3.8566413964,0.3077950169,3.947430497,0.9210164479,2.7410397012,0.8588002309,1.1424090939,0.708954964,2.3979367938,0.6210658126,1.4021422095,0.626242143,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
25,0.9833333333,-0.982,-0.002,0.0233333333,0.0093333333,-0.0173333333,0.032,0.0093333333,0.5686666667,-0.5486666667,-0.7993333333,0.7946666667,0.0313333333,-0.064,0.812,-0.7933333333,0.542,-0.55,150,cvkgtt3vawwg0089n28g,0.9833333333,+,X,0.0850906747,7.0990131152,0.9240318887,5.1840797183,0.2584607711,6.5734656835,0.3796018066,3.655722463,0.3559197286,3.8155576741,0.4173779309,4.141324818,0.1949778432,2.7030037513,0.0455097274,2.4247695723,0.8110101372,2.672096776,0.2984723296,2.0023764192,1.8848710948,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
26,0.982,-0.9766666667,-0.026,-0.0033333333,0.0606666667,-0.0653333333,0.0606666667,-0.0226666667,-0.126,0.1393333333,-0.9766666667,0.964,0.0573333333,-0.0886666667,0.9686666667,-0.9793333333,-0.134,0.1066666667,168,cvkgtt3vawwg0089n28g,0.982,+,X,0.8901879923,7.5813299629,0.2435205789,6.1393537532,0.2264627189,5.1521863144,0.5356500395,3.5084550636,0.6582767096,3.0468835496,0.0436800935,3.1869174071,0.9593202761,1.5496395563,0.6127174502,1.1453661973,0.7192229689,2.2954693995,0.3558370183,1.1282460561,1.5812663499,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
27,0.9826666667,-0.9813333333,-0.0053333333,-0.022,0.0113333333,0.0226666667,-0.016,0.0486666667,0.3626666667,-0.332,-0.932,0.9186666667,-0.0073333333,0.0106666667,0.9353333333,-0.9326666667,0.3266666667,-0.3513333333,186,cvkgtt3vawwg0089n28g,0.9826666667,+,X,0.3564663823,7.2618738375,0.3028053981,5.4840483459,0.5230454605,6.8608873761,0.3392399931,3.7241362212,0.3080531709,4.1409156447,0.5183868355,3.3332134904,0.7314790327,1.6696468541,0.7086109299,1.0594607357,0.5589965338,2.8492828846,0.3469262032,2.9691673957,0.0254107124,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
28,0.9826666667,-0.98,0.052,-0.06,-0.0326666667,0.0573333333,-0.0466666667,0.0366666667,-0.1246666667,0.124,-0.972,0.9673333333,-0.0646666667,0.0353333333,0.9746666667,-0.9766666667,-0.0653333333,0.0893333333,204,cvkgtt3vawwg0089n28g,0.9826666667,+,X,0.4422379692,8.5780244609,0.5724559926,6.2986725016,0.3014513366,6.6876377987,0.7458472675,3.9667750401,0.707257311,3.559420204,0.932429128,3.8684224528,0.513340762,1.6951189857,0.795832832,2.0619695095,0.2843005097,2.0489423791,0.535959556,1.120782356,-0.7829140358,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
29,0.9833333333,-0.9813333333,0.036,-0.0253333333,-0.0146666667,0.024,-0.024,0.038,-0.1426666667,0.1706666667,-0.976,0.9753333333,-0.0333333333,0.0506666667,0.9793333333,-0.9713333333,-0.1513333333,0.102,222,cvkgtt3vawwg0089n28g,0.9833333333,+,X,0.2657349324,7.8348886223,0.8711297063,5.1899070515,0.9054916062,6.0017087108,0.989657358,3.9793360173,0.3912274597,4.9857338604,0.3178794194,3.8008700861,0.7091960123,2.0371530383,0.7437002155,2.4506939817,0.8576526103,1.9581216847,0.7245430759,1.7328450411,-0.1727713518,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
30,0.9826666667,-0.9806666667,-0.0253333333,-0.0013333333,0.0006666667,-0.0226666667,-0.0106666667,-0.0213333333,0.056,-0.0273333333,-0.976,0.9726666667,-0.0046666667,0.024,0.9846666667,-0.9866666667,0.072,-0.0826666667,240,cvkgtt3vawwg0089n28g,0.9826666667,+,X,0.1052566769,8.4393551849,0.9764422041,6.6791079541,0.7047627914,5.2412270633,0.8499828805,3.2385213522,0.5629805516,4.1561938992,0.9074225469,4.017661325,0.0609353272,2.3402222932,0.7672040641,2.7355698589,0.2055272814,2.9647534116,0.0715559008,1.0491078666,0.5341460049,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
31,0.9853333333,-0.974,0.0326666667,-0.016,-0.03,0.04,-0.0453333333,0.0206666667,-0.1726666667,0.1413333333,-0.9733333333,0.9693333333,-0.0526666667,0.0713333333,0.976,-0.966,-0.1506666667,0.17,258,cvkgtt3vawwg0089n28g,0.9853333333,+,X,0.1682694119,8.774635231,0.970383189,5.4825776917,0.8836718208,6.5621151054,0.8589958776,4.9589292449,0.4273074991,4.5886466957,0.4872873448,4.7317886356,0.0696418362,2.7796256651,0.7910074469,2.3970481461,0.7085927888,2.1412065191,0.2762562231,2.0256350065,-1.12897551,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
32,0.9813333333,-0.98,0.0366666667,-0.0186666667,-0.0273333333,-0.028,-0.0013333333,-0.016,-0.4833333333,0.5073333333,-0.8533333333,0.848,0.006,0.02,0.8566666667,-0.8406666667,-0.4953333333,0.4806666667,276,cvkgtt3vawwg0089n28g,0.9813333333,+,X,0.9893782863,7.9850925892,0.5265005982,5.8416474875,0.245672925,6.8879441947,0.4970848195,4.739136204,0.2108160047,3.2759292123,0.3868783137,3.9829729818,0.5958329079,2.410456946,0.4477796003,1.1388436588,0.2313109363,1.9200272429,0.5239376239,1.0270178921,0.6393597814,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
33,0.982,-0.9773333333,0.0413333333,-0.0853333333,-0.0493333333,0.0313333333,-0.0626666667,0.046,0.0053333333,-0.012,-0.9786666667,0.972,-0.092,0.0353333333,0.9806666667,-0.9726666667,-0.0206666667,-0.0133333333,294,cvkgtt3vawwg0089n28g,0.982,+,X,0.4001717342,8.3913766598,0.7180299374,6.20823823,0.5138684487,5.1177818592,0.8627933857,4.1810831567,0.6833119361,3.3038636636,0.1899113035,3.1180517155,0.3392466461,2.2515051289,0.8777003372,1.2189997858,0.0625018244,2.7084111305,0.2414061065,2.3393767814,-1.2595123944,1,-1,,,,,2024-09-15T16:38:01.201266Z,2024-09-15T20:27:24.668Z,2024-09-15T20:36:10.603Z
34,0.958,-0.9646666667,0.1446666667,-0.1106666667,-0.1573333333,0.184,-0.0873333333,0.064,-0.368,0.3773333333,-0.9006666667,0.8973333333,-0.1893333333,0.1733333333,0.9066666667,-0.8986666667,-0.338,0.352,12,cvkgtvkvawwg0089n290,0.958,+,X,0.8854746605,7.8897687938,0.4277295371,6.9220646506,0.2681468318,6.0209465528,0.0537370399,4.9556272761,0.8154085273,3.8826742501,0.4808509172,4.5777138662,0.765276601,2.7617636558,0.1267341369,1.0831167329,0.5329218543,1.5308816078,0.2028183976,2.6278498809,-1.7518201788,2,-1,,,,,2024-09-15T16:38:07.051691Z,2024-09-15T20:27:25.837Z,2024-09-15T20:32:02.956Z
35,0.9826666667,-0.9813333333,0.0073333333,0.0213333333,-0.046,0.0033333333,0.006,0.0013333333,0.2766666667,-0.2473333333,-0.9353333333,0.954,0.0066666667,-0.0126666667,0.9426666667,-0.9373333333,0.274,-0.3,30,cvkgtvkvawwg0089n290,0.9826666667,+,X,0.177659513,7.8857713876,0.6499398988,5.8570608469,0.260698028,6.8102359599,0.9736841458,3.8972405075,0.737164509,4.5807904198,0.6754374117,3.1330156697,0.7792513963,1.5512361976,0.7895643784,1.3247720233,0.841319418,2.4440982253,0.2394593443,2.8836874485,0.601968371,2,-1,,,,,2024-09-15T16:38:07.051691Z,2024-09-15T20:27:25.837Z,2024-09-15T20:32:02.956Z
