parameters_id,expectation_value/+/X,expectation_value/-/X,expectation_value/r/X,expectation_value/l/X,expectation_value/0/X,expectation_value/1/X,expectation_value/+/Y,expectation_value/-/Y,expectation_value/r/Y,expectation_value/l/Y,expectation_value/0/Y,expectation_value/1/Y,expectation_value/+/Z,expectation_value/-/Z,expectation_value/r/Z,expectation_value/l/Z,expectation_value/0/Z,expectation_value/1/Z,circuit_idx,job_id,expectation_value,initial_state,observable,parameter/0/0/amp,parameter/0/0/sigma,parameter/0/0/beta,parameter/1/0/amp,parameter/1/0/sigma,parameter/1/0/beta,parameter/1/1/amp,parameter/1/1/sigma,parameter/1/1/beta,parameter/2/0/amp,parameter/2/0/sigma,parameter/2/0/beta,parameter/2/1/amp,parameter/2/1/sigma,parameter/2/1/beta,parameter/2/2/amp,parameter/2/2/sigma,parameter/2/2/beta,parameter/3/0/amp,parameter/3/0/sigma,parameter/3/0/beta,parameter/3/1/amp,parameter/3/1/sigma,parameter/3/1/beta,parameter/3/2/amp,parameter/3/2/sigma,parameter/3/2/beta,parameter/3/3/amp,parameter/3/3/sigma,parameter/3/3/beta,job_idx,unique_id,counts/00,counts/01,counts/10,counts/11
10,0.9053333333,-0.9073333333,-0.0593333333,0.0513333333,0.3006666667,-0.2693333333,0.1726666667,-0.1726666667,-0.6253333333,0.6493333333,-0.7133333333,0.7333333333,0.2553333333,-0.2553333333,0.708,-0.71,-0.5753333333,0.5786666667,180,crs819dx484g008f2rv0,0.9053333333,+,X,0.9855036835,7.6490059892,0.3109190806,0.9699374347,5.7973594608,1.9195178774,0.4772057866,6.3616234028,1.4381733542,0.2417613979,3.3856742628,0.1276942995,0.6639956463,4.7689651592,1.8614850504,0.6929643255,4.4254542801,-0.0356175905,0.1314350451,2.1060732534,0.7907931349,0.8945192487,2.6192319948,0.881998075,0.7664027706,2.3892515831,-0.7770019391,0.9741459268,2.9178503811,-1.1980030364,0,180,43.0,125.0,2815.0,17.0
11,0.97,-0.9513333333,-0.066,0.0833333333,0.0506666667,-0.0093333333,0.0453333333,-0.0526666667,0.304,-0.292,-0.9126666667,0.9166666667,0.066,-0.024,0.9253333333,-0.8986666667,0.2973333333,-0.298,198,crs819dx484g008f2rv0,0.97,+,X,0.3612297566,8.881038575,0.548455694,0.8950171401,6.5484878429,0.6450906197,0.5884097587,6.0569422582,-0.4938998276,0.6700469444,3.8580697883,-1.7104725023,0.5031437872,4.3234562143,-0.902498613,0.8761080911,3.3149258363,0.1468574596,0.5321964083,1.723489643,0.8650808414,0.1777721083,2.2513751896,-0.1582734371,0.5175666537,1.7345286602,0.8487773935,0.9290025364,2.2626224218,-0.8854213879,0,198,49.0,39.0,2906.0,6.0
12,0.934,-0.916,-0.1226666667,0.1726666667,0.2326666667,-0.1893333333,0.2106666667,-0.1886666667,-0.002,0.0686666667,-0.9233333333,0.946,0.1993333333,-0.1613333333,0.956,-0.9193333333,0.068,-0.0113333333,216,crs819dx484g008f2rv0,0.934,+,X,0.9507709934,8.7505337532,1.79750831,0.1746300043,5.6516900016,1.9678763611,0.2738338865,6.0291123242,0.8317521065,0.0212223812,4.9208074513,1.6364546113,0.4796731002,3.7067926395,1.5209321701,0.2790057474,4.7991040397,-0.5636800445,0.5684056716,1.664396346,-0.5974781261,0.511565416,2.8620339404,0.265532458,0.8066377548,1.4909866221,-0.9950048329,0.7437039462,1.1457621337,1.9130614554,0,216,44.0,90.0,2857.0,9.0
13,0.9713333333,-0.9493333333,-0.05,0.0886666667,0.0733333333,-0.024,0.068,-0.038,0.424,-0.4133333333,-0.86,0.862,0.0546666667,-0.0146666667,0.878,-0.854,0.464,-0.386,234,crs819dx484g008f2rv0,0.9713333333,+,X,0.6690109604,8.5461109556,0.3786960671,0.0753842083,5.6472213841,-1.9910658975,0.364748914,6.6740312399,1.9362897759,0.4352484933,4.0636190088,0.6592718594,0.3245277662,3.2685407991,1.4379141292,0.8020108146,4.5821558117,-1.3935900218,0.4615578097,1.7262609689,0.4739675067,0.7131047004,2.1259603411,-0.2394841008,0.2795119874,1.8083863178,0.0739260292,0.7964529222,2.2847523329,1.9702023354,0,234,47.0,41.0,2910.0,2.0
14,0.9613333333,-0.9306666667,-0.0733333333,0.0806666667,0.126,-0.078,0.12,-0.0866666667,-0.0666666667,0.074,-0.9406666667,0.9713333333,0.114,-0.072,0.956,-0.948,-0.0666666667,0.118,252,crs819dx484g008f2rv0,0.9613333333,+,X,0.4048096851,7.8982821132,-1.3088106537,0.8954704986,5.7549974071,0.9009671454,0.9235797708,6.8517283776,1.6799220485,0.6255778447,4.0669875476,0.5028864226,0.6944640247,3.147420946,-0.138313201,0.8473949446,4.310985521,1.244206392,0.1232277807,1.7345034905,-0.6348481163,0.6606256119,1.3125419545,1.5553209825,0.8803018462,2.5148771385,-1.4862766485,0.4823258708,2.7589987978,-0.7645092564,0,252,42.0,51.0,2900.0,7.0
15,0.9726666667,-0.938,-0.0173333333,0.0273333333,0.0173333333,0.0026666667,0.0226666667,-0.004,0.6913333333,-0.682,-0.6806666667,0.682,0.014,0.0126666667,0.7186666667,-0.648,0.708,-0.72,270,crs819dx484g008f2rv0,0.9726666667,+,X,0.0702666553,8.7974491702,0.4904817371,0.6975671199,5.8246503525,0.3186168169,0.6755343477,6.6911039355,0.479473288,0.3295890009,4.6137795639,-1.214932499,0.3753830606,4.9498990698,-0.1082869875,0.6392928576,4.7319360248,-0.5689732919,0.1258922691,1.6467510089,-0.1550156145,0.1208798049,2.1836082819,0.8737767059,0.8558611684,2.0140836887,0.3660095316,0.4501879774,2.9546705652,0.8624559655,0,270,44.0,38.0,2915.0,3.0
16,0.942,-0.92,-0.1126666667,0.0906666667,0.2546666667,-0.1826666667,0.208,-0.1686666667,-0.2593333333,0.2273333333,-0.9046666667,0.9133333333,0.1606666667,-0.1213333333,0.9253333333,-0.91,-0.2146666667,0.24,288,crs819dx484g008f2rv0,0.942,+,X,0.7193207763,8.9246784671,1.6658677861,0.2371007827,6.6566060483,-1.9722460138,0.9893233728,6.8502304032,1.6695356054,0.6368880587,4.9378953977,-1.8924057968,0.6996139297,4.6960960377,-1.3235826815,0.1401712658,3.1956373947,1.542108206,0.4112706055,2.2271405201,0.0702156025,0.8383171762,1.1325012669,1.6910681121,0.2785815149,2.935919686,-0.99649559,0.7036095734,1.2202629176,0.0352766706,0,288,47.0,77.0,2866.0,10.0
17,0.974,-0.9526666667,-0.008,0.03,0.0166666667,0.0466666667,0.0093333333,0.04,0.9353333333,-0.908,-0.2593333333,0.25,-0.0273333333,0.0506666667,0.3053333333,-0.2433333333,0.9493333333,-0.9146666667,6,crs81a57wv80008f6exg,0.974,+,X,0.0040871511,8.3436773078,0.7001665662,0.5066374948,6.5430051584,1.8932495748,0.0874249759,6.0906938843,1.6455122646,0.3779207666,3.650324047,-0.1035780504,0.4581541218,4.0186368954,0.8695680427,0.2150587059,4.0610619368,-0.9586738604,0.3408172378,2.4378436289,-0.9635160517,0.3972357652,1.6922134398,1.4614651308,0.855521901,1.1026829825,1.7842939746,0.0257894727,1.2487714259,-1.0370494483,1,306,39.0,36.0,2922.0,3.0
18,0.918,-0.9033333333,-0.1,0.0886666667,0.2233333333,-0.2166666667,0.2246666667,-0.1953333333,-0.2633333333,0.2693333333,-0.8953333333,0.904,0.2133333333,-0.1733333333,0.9333333333,-0.9113333333,-0.224,0.2566666667,24,crs81a57wv80008f6exg,0.918,+,X,0.8969059422,8.7375487042,1.8332046089,0.8291793711,6.479074514,-1.2250426502,0.1418259017,5.2983578878,-1.5561931199,0.187831801,3.0941502322,1.6516702625,0.6012449462,4.0377022384,-1.4482950605,0.2049166107,3.8227993856,1.6252608532,0.9738680399,1.6442373769,-0.6626443218,0.8082224548,1.7037274504,-0.6566641396,0.3540881931,1.0281064015,-0.182683721,0.9915109281,2.1793066631,1.4666292994,1,324,41.0,108.0,2836.0,15.0
19,0.9793333333,-0.9546666667,-0.0333333333,0.0206666667,-0.0013333333,-0.0066666667,0.0173333333,0.0026666667,0.6886666667,-0.658,-0.658,0.6893333333,0.0093333333,0.0246666667,0.7086666667,-0.7026666667,0.672,-0.6386666667,42,crs81a57wv80008f6exg,0.9793333333,+,X,0.3912976897,7.9579103595,1.4905731794,0.2689280732,5.273779406,1.3621559223,0.7479908152,6.6654869479,-0.2621722994,0.4205744288,3.9331913486,1.019988767,0.4622392421,3.8430110719,-1.44003634,0.4563521843,4.106006943,0.9352336119,0.8697252931,2.2594142885,-1.0821361555,0.0805871886,2.8070199414,-0.0688225162,0.4790299027,1.8446303647,1.9905237973,0.0253766492,1.6652972483,1.4184177263,1,342,38.0,30.0,2931.0,1.0
20,0.9773333333,-0.942,-0.0113333333,0.078,0.0373333333,-0.01,0.014,-0.026,0.63,-0.6153333333,-0.7286666667,0.7633333333,0.0766666667,-0.004,0.758,-0.6966666667,0.6226666667,-0.5933333333,60,crs81a57wv80008f6exg,0.9773333333,+,X,0.4202944414,8.6765672939,1.7256740235,0.0443502966,5.1948931396,0.5000233085,0.6480934939,5.8357918537,-1.2701509611,0.2763489722,3.6940321228,-1.9992429795,0.7980524088,3.892539829,-0.2712222191,0.6348685761,4.6577544501,-1.4710655591,0.8072286826,1.5174353819,-0.2651686246,0.8807677688,2.3854810203,-0.1656663479,0.5587742776,2.1235245453,-1.686366242,0.6588667694,2.4846032802,1.4481346456,1,360,40.0,30.0,2926.0,4.0
21,0.962,-0.9386666667,-0.016,0.078,0.0926666667,-0.0686666667,0.0653333333,0.0166666667,0.26,-0.2546666667,-0.9146666667,0.9346666667,0.0446666667,0.0006666667,0.9493333333,-0.9246666667,0.2626666667,-0.2413333333,78,crs81a57wv80008f6exg,0.962,+,X,0.7833461923,7.1367476582,-1.4582136093,0.0796324367,5.7667259657,-1.1073854604,0.5539799239,5.0588669412,1.8126859247,0.4238609484,3.6264608225,-1.3668874855,0.7449552414,3.8162524475,0.8368414508,0.8284928333,4.6288946458,0.654604012,0.2802265232,1.7369041269,-0.5749667855,0.0764730598,2.5692354555,1.4501750079,0.1571537306,1.2194004995,1.3116376039,0.1943438153,1.8803374244,0.3149632196,1,378,38.0,50.0,2905.0,7.0
22,0.9633333333,-0.9486666667,-0.052,0.078,0.0933333333,-0.042,0.058,-0.0806666667,0.3966666667,-0.422,-0.8253333333,0.8493333333,0.0186666667,-0.0526666667,0.8826666667,-0.844,0.4246666667,-0.4333333333,96,crs81a57wv80008f6exg,0.9633333333,+,X,0.1735485467,7.3261677856,-0.6288396548,0.4065937826,6.8473631987,0.6025284054,0.9901431213,6.8854112596,1.2064735918,0.3929490233,4.667733908,-0.7995772741,0.8433516657,3.3090685963,1.4003545964,0.5748541064,4.7709120746,-0.9370227404,0.8866392236,1.1568929857,1.6046685517,0.293654622,2.375998336,-1.788062591,0.2280503907,1.6847758604,-0.8000687203,0.861026936,2.7378822561,-1.4951397507,1,396,51.0,47.0,2894.0,8.0
23,0.9693333333,-0.9386666667,-0.024,0.046,0.098,-0.0326666667,0.09,-0.0453333333,0.276,-0.2293333333,-0.908,0.9273333333,0.026,0.016,0.9373333333,-0.9246666667,0.2866666667,-0.2566666667,114,crs81a57wv80008f6exg,0.9693333333,+,X,0.2590813683,7.484739671,1.7707596201,0.8830076701,5.8148477501,-0.6768172293,0.7552584503,6.1821668362,0.2451692325,0.7965396431,4.8790535052,-1.7447691755,0.6303159035,3.509066103,1.5438324484,0.9991604898,3.0939961197,0.8562682069,0.2358466794,1.6415161493,1.3007817705,0.9133740864,1.5881337177,-0.006651403,0.4109521371,1.4425597961,1.6610392219,0.393362593,2.5913637218,1.8118009661,1,414,40.0,34.0,2914.0,12.0
24,0.958,-0.9466666667,-0.0913333333,0.1386666667,0.1,-0.054,0.1046666667,-0.076,0.2793333333,-0.3066666667,-0.914,0.928,0.09,-0.04,0.9293333333,-0.9106666667,0.2866666667,-0.2553333333,132,crs81a57wv80008f6exg,0.958,+,X,0.7284950701,8.9703835697,1.2782502655,0.5074991276,6.5358118498,0.9285465189,0.0108831754,5.1586104656,-0.7034598883,0.5716996388,4.5255806607,1.6311229966,0.242157829,3.3526714787,-0.4831375348,0.7175321177,4.5855518666,0.6542630832,0.2677635292,2.2695344475,-0.9653082397,0.1395989566,2.0873475098,0.7125653143,0.2318934511,2.6868824019,-0.5224716585,0.2560098158,2.2809111399,1.722720353,1,432,38.0,57.0,2899.0,6.0
25,0.982,-0.95,0.0206666667,-0.0146666667,0.0093333333,0.0153333333,0.008,0.0073333333,0.7946666667,-0.7873333333,-0.5166666667,0.5653333333,0.04,0.0066666667,0.562,-0.4933333333,0.8193333333,-0.7886666667,150,crs81a57wv80008f6exg,0.982,+,X,0.4995196507,7.4321776925,-1.8332537002,0.2540163677,5.4659899935,1.1803334795,0.2302185285,6.8233585044,-1.4848114627,0.247594167,3.5326533008,1.0908199136,0.6865139235,3.5863351913,0.5361939146,0.154650953,4.0590510243,1.2237782771,0.6959151602,2.7114496398,1.8187867775,0.1979544201,2.2907858843,-0.3813503325,0.5617261777,2.6698344522,0.0195372418,0.3368809672,2.8862506084,-1.1745272709,1,450,34.0,23.0,2939.0,4.0
26,0.9613333333,-0.9426666667,0.0126666667,0.0113333333,0.102,-0.0606666667,0.098,-0.0513333333,-0.2846666667,0.3206666667,-0.9073333333,0.924,0.0373333333,0.0313333333,0.9213333333,-0.9146666667,-0.282,0.2793333333,168,crs81a57wv80008f6exg,0.9613333333,+,X,0.9884686388,8.266407878,-1.9787667127,0.336293356,5.5218988072,-0.6175063342,0.7591669694,5.8501203694,0.5506117301,0.2845001076,4.3364573329,0.3966667444,0.288973232,4.0628528913,1.0744646255,0.2455187895,3.0586866918,1.5252044802,0.1827907055,2.6378749781,0.6318071713,0.156543034,2.7142635147,-1.1238551302,0.1674616086,1.4957462432,-0.3917295478,0.5325057527,2.7087818724,-0.6882084786,1,468,43.0,52.0,2899.0,6.0
27,0.9746666667,-0.9506666667,-0.024,0.0573333333,0.0333333333,-0.0113333333,0.0393333333,0.002,0.726,-0.688,-0.632,0.654,0.0353333333,0.0113333333,0.6653333333,-0.6333333333,0.75,-0.704,186,crs81a57wv80008f6exg,0.9746666667,+,X,0.4693833346,7.6412134168,1.5423824991,0.1036873987,5.4844927894,-0.0079699194,0.5028223162,6.7251443131,1.448502053,0.4684523791,3.6328101389,1.743063242,0.726444638,4.979693533,0.8739794413,0.3471780719,4.2303671985,0.4808205985,0.653284559,1.9086374287,1.6025927976,0.4985806408,2.0690628883,-0.4729647999,0.1558984351,1.193928484,0.1075267352,0.8045890007,1.5696849275,0.5848127544,1,486,54.0,35.0,2908.0,3.0
28,0.9793333333,-0.9386666667,-0.032,0.0693333333,-0.0053333333,0.0213333333,0.038,-0.026,0.8206666667,-0.8006666667,-0.5093333333,0.5466666667,0.0166666667,0.0066666667,0.5706666667,-0.5213333333,0.798,-0.7853333333,204,crs81a57wv80008f6exg,0.9793333333,+,X,0.1304774802,7.8789305325,0.5934154649,0.689519699,5.9241307758,0.9135217587,0.0747611333,6.9049211405,0.7718553928,0.8334845294,3.0752420957,-0.3815843583,0.2459886282,3.9345525749,-1.2185876489,0.8356232175,4.900486241,1.6156428097,0.1822799525,1.3177606468,0.5731129346,0.1069105204,1.5897921606,1.891822684,0.6486317086,1.9778867535,-1.1983345268,0.244287429,1.4163568841,1.9746688231,1,504,40.0,27.0,2929.0,4.0
29,0.962,-0.956,-0.0033333333,0.0666666667,0.0673333333,-0.002,0.038,-0.0046666667,0.1206666667,-0.11,-0.938,0.9646666667,0.02,-0.012,0.974,-0.936,0.1253333333,-0.1046666667,222,crs81a57wv80008f6exg,0.962,+,X,0.6025518146,7.4274652375,-1.8215042872,0.8254908099,5.9671443271,-1.6349931513,0.4703349215,5.918263046,-0.753369582,0.1807027953,3.9576676507,-0.3295874285,0.7946495021,3.5842521521,0.7204839724,0.7473140208,4.6875925548,-0.5591944833,0.2032924401,2.7732906963,-1.3661813977,0.8438288621,2.3528987513,-0.5816906016,0.9924372674,1.9101234909,1.0331835708,0.9717815567,2.9697535474,0.8098626179,1,522,37.0,52.0,2906.0,5.0
30,0.9766666667,-0.948,0.0006666667,0.0193333333,0.028,0.0346666667,0.0033333333,0.0066666667,0.722,-0.674,-0.6586666667,0.6626666667,0.0326666667,0.0193333333,0.6833333333,-0.64,0.7066666667,-0.68,240,crs81a57wv80008f6exg,0.9766666667,+,X,0.4729360308,8.425673849,-1.0871467875,0.0371828459,5.9907273272,-0.6483076254,0.5536905282,6.6623381631,1.1773437406,0.0775376475,4.652952203,1.8032936785,0.5928021683,3.743556389,1.387853301,0.5033378692,3.5874788156,-1.4573382031,0.7430442772,2.8919359634,-1.7017047192,0.4155239074,2.1543881436,0.2929338178,0.799763836,1.8829904713,-0.300615278,0.1366070378,1.5209580077,-1.0624482783,1,540,52.0,31.0,2913.0,4.0
31,0.97,-0.9413333333,-0.0466666667,0.0686666667,0.1326666667,-0.1133333333,0.1153333333,-0.1113333333,-0.0713333333,0.106,-0.9366666667,0.9646666667,0.0913333333,-0.03,0.9706666667,-0.9453333333,-0.052,0.1026666667,258,crs81a57wv80008f6exg,0.97,+,X,0.5817081862,7.9085305298,-0.9681154723,0.63410303,6.0075518097,-0.4991581445,0.9970439974,6.8014117714,0.6407042942,0.0770289994,4.9653656718,0.1490977779,0.1798724415,4.7556927601,0.475286255,0.7972124188,4.1592932821,1.9803684098,0.9817565242,2.0810784398,1.3894094567,0.7525232496,2.6103688071,1.9150510989,0.304598228,2.4702818588,-1.3219792278,0.4891548661,2.6029812149,1.9393806978,1,558,41.0,42.0,2914.0,3.0
32,0.9686666667,-0.9466666667,0.008,0.0346666667,0.01,-0.0293333333,0.0266666667,-0.0086666667,0.7673333333,-0.7586666667,-0.5746666667,0.6073333333,-0.0106666667,0.0086666667,0.5826666667,-0.5786666667,0.748,-0.7353333333,276,crs81a57wv80008f6exg,0.9686666667,+,X,0.1661238014,7.195352544,1.8573115908,0.6092354553,6.1476216685,-0.0947852462,0.1682791953,6.5537735687,0.807948767,0.1007911954,3.8943630265,-0.5854399936,0.8795127444,4.3198896096,0.2810053601,0.9779107187,3.3615180859,0.8604995248,0.9777623997,1.0006744668,-0.9906500549,0.6192385469,1.0387037719,-1.7031483273,0.6717275622,1.8435766096,-1.2730213242,0.5513446001,1.3884085316,-0.3335209257,1,576,45.0,42.0,2908.0,5.0
33,0.9333333333,-0.9233333333,-0.0993333333,0.126,0.2253333333,-0.2466666667,0.2053333333,-0.1626666667,-0.1693333333,0.174,-0.92,0.928,0.1806666667,-0.1253333333,0.9393333333,-0.9306666667,-0.11,0.1706666667,294,crs81a57wv80008f6exg,0.9333333333,+,X,0.9722781927,7.3642463345,1.5088346532,0.6364381952,6.1726067814,0.5691479227,0.2006400059,6.1360149181,-0.9913414544,0.8888063366,4.0461901802,-1.2632286202,0.6924973525,3.2130282035,-1.6437781296,0.0227691601,4.8759062478,0.9763715763,0.0620816802,2.6664138379,0.8608246772,0.4472121867,1.3439452501,1.4648653115,0.705225379,2.9073497597,-1.5128233523,0.113856255,2.6846893218,-0.9031845438,1,594,47.0,86.0,2853.0,14.0
